number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon,win3,win2,win1,avg3,avg2,avg1
96,0,7000,2645.8762886597938,2645.8762886597938,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
97,2,1150,2630.612244897959,2630.612244897959,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
98,2,1000,2614.1414141414143,2614.1414141414143,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
99,3,200,2590.0,2590.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
100,3,250,2596.0,2566.831683168317,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
101,2,-300,2580.0,2538.725490196078,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
102,3,400,2519.0,2517.9611650485435,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
103,0,7200,2529.0,2562.980769230769,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
104,2,-250,2461.5,2536.190476190476,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
105,3,900,2463.5,2520.754716981132,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
106,0,7350,2471.5,2565.88785046729,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
107,3,800,2416.5,2549.537037037037,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
108,0,6950,2416.0,2589.908256880734,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
109,2,300,2412.0,2569.090909090909,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
110,0,6650,2472.5,2605.8558558558557,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
111,3,500,2409.0,2587.0535714285716,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
112,3,650,2346.0,2569.9115044247787,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
113,3,1150,2345.5,2557.4561403508774,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
114,2,350,2341.0,2538.2608695652175,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
115,2,250,2334.0,2518.5344827586205,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
116,3,600,2347.5,2502.136752136752,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
117,0,6950,2420.0,2539.830508474576,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
118,0,7100,2476.5,2578.1512605042017,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
119,2,300,2415.5,2559.1666666666665,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
120,0,6800,2479.5,2594.214876033058,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
121,3,1150,2424.5,2582.377049180328,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
122,0,7850,2431.0,2625.20325203252,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
123,3,0,2361.5,2604.032258064516,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
124,2,400,2301.0,2586.4,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
125,2,-100,2235.5,2565.0793650793653,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
126,3,550,2237.5,2549.212598425197,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
127,0,6400,2296.5,2579.296875,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
128,0,7500,2370.5,2617.4418604651164,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
129,0,7350,2440.5,2653.846153846154,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
130,2,450,2434.5,2637.022900763359,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
131,3,650,2443.5,2621.969696969697,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
132,0,6950,2513.0,2654.5112781954886,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
133,2,450,2450.0,2638.0597014925374,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
134,2,950,2452.0,2625.5555555555557,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
135,3,700,2451.5,2611.3970588235293,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
136,3,900,2389.0,2598.905109489051,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
137,0,6750,2450.0,2628.985507246377,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
138,2,550,2448.0,2614.028776978417,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
139,2,700,2454.5,2600.3571428571427,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
140,3,900,2392.5,2588.2978723404253,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
141,0,6700,2392.0,2617.2535211267605,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
142,2,1050,2334.0,2606.2937062937062,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
143,3,1000,2339.5,2595.1388888888887,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
144,3,150,2274.0,2578.2758620689656,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
145,0,7350,2280.5,2610.958904109589,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
146,3,1350,2288.0,2602.3809523809523,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
147,2,750,2230.5,2589.864864864865,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
148,3,650,2229.0,2576.8456375838928,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
149,2,350,2222.0,2562.0,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
150,2,100,2221.0,2545.6953642384105,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
151,2,800,2220.5,2534.2105263157896,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
152,3,250,2211.5,2519.281045751634,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
153,2,300,2203.0,2504.87012987013,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
154,2,450,2150.5,2491.6129032258063,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
155,2,550,2146.0,2479.1666666666665,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
156,2,450,2145.0,2466.2420382165606,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
157,2,700,2146.0,2455.0632911392404,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
158,2,1000,2146.0,2445.9119496855346,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
159,2,-250,2138.0,2429.0625,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
160,3,-700,2124.0,2409.6273291925468,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
161,2,750,2133.5,2399.382716049383,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
162,3,350,2063.5,2386.8098159509204,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
163,2,750,2068.5,2376.829268292683,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
164,2,150,2067.5,2363.3333333333335,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
165,3,100,2060.0,2349.6987951807228,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
166,2,250,2053.0,2337.125748502994,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
167,0,6900,2050.0,2364.285714285714,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
168,0,6850,2111.0,2390.828402366864,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
169,3,500,2112.0,2379.705882352941,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
170,0,6800,2173.5,2405.5555555555557,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
171,3,-750,2097.0,2387.2093023255816,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
172,2,350,2038.5,2375.433526011561,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
173,3,150,2034.5,2362.6436781609195,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
174,0,7100,2096.5,2389.714285714286,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
175,2,450,2099.0,2378.693181818182,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
176,2,750,2098.5,2369.491525423729,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
177,0,7100,2162.5,2396.067415730337,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
178,2,350,2156.5,2384.63687150838,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
179,2,450,2094.0,2373.8888888888887,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
180,0,7050,2164.0,2399.723756906077,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
181,2,250,2157.0,2387.912087912088,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
182,3,250,2155.0,2376.2295081967213,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
183,2,700,2161.0,2367.1195652173915,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
184,2,-50,2092.5,2354.054054054054,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
185,2,1000,2103.5,2346.7741935483873,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
186,3,400,2095.5,2336.3636363636365,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
187,2,200,2092.0,2325.0,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
188,2,700,2032.5,2316.4021164021165,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
189,3,450,2032.0,2306.5789473684213,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
190,3,650,2037.0,2297.9057591623036,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
191,2,500,1974.5,2288.5416666666665,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
192,0,6150,2030.5,2308.5492227979275,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
193,3,900,2039.0,2301.2886597938145,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
194,0,7100,2101.5,2325.897435897436,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
195,2,600,2045.0,2317.091836734694,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
196,0,7150,2046.5,2341.6243654822333,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
197,3,500,2040.0,2332.3232323232323,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
198,2,750,2037.5,2324.3718592964824,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
199,3,-450,2031.0,2310.5,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
