number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
95,0,6900,1618.75,1618.75,1
96,1,0,1602.0618556701031,1602.0618556701031,1
97,2,200,1587.7551020408164,1587.7551020408164,1
98,3,250,1574.2424242424242,1574.2424242424242,1
99,1,150,1560.0,1560.0,1
100,3,150,1497.0,1546.039603960396,1
101,3,700,1498.5,1537.7450980392157,1
102,0,6300,1559.0,1583.9805825242718,1
103,1,-150,1499.5,1567.3076923076924,1
104,2,-50,1504.0,1551.904761904762,1
105,3,400,1497.0,1541.0377358490566,1
106,1,-250,1489.0,1524.2990654205607,1
107,2,-350,1416.0,1506.9444444444443,1
108,1,700,1421.5,1499.5412844036698,1
109,3,950,1413.0,1494.5454545454545,1
110,3,1200,1426.0,1491.8918918918919,1
111,2,-350,1418.0,1475.4464285714287,1
112,2,950,1417.5,1470.796460176991,1
113,2,1000,1426.0,1466.6666666666667,1
114,3,-100,1421.5,1453.0434782608695,1
115,3,650,1414.5,1446.1206896551723,1
116,3,400,1350.5,1437.179487179487,1
117,2,400,1348.5,1428.3898305084747,1
118,3,1450,1362.0,1428.5714285714287,1
119,2,600,1373.5,1421.6666666666667,1
120,2,700,1378.5,1415.702479338843,1
121,1,150,1375.5,1405.327868852459,1
122,0,7400,1446.5,1454.0650406504064,1
123,2,-150,1439.0,1441.1290322580646,1
124,2,650,1444.0,1434.8,1
125,0,6800,1498.5,1477.3809523809523,1
126,2,950,1510.5,1473.2283464566929,1
127,3,250,1506.0,1463.671875,1
128,1,1500,1513.0,1463.953488372093,1
129,3,700,1522.5,1458.076923076923,1
130,3,-300,1454.5,1444.6564885496184,1
131,2,-300,1455.0,1431.439393939394,1
132,0,7350,1525.5,1475.9398496240601,1
133,1,650,1525.0,1469.7761194029852,1
134,3,450,1524.5,1462.2222222222222,1
135,1,550,1521.5,1455.514705882353,1
136,0,7150,1585.0,1497.0802919708028,1
137,0,7000,1593.5,1536.9565217391305,1
138,1,-500,1579.0,1522.3021582733813,1
139,3,350,1575.0,1513.9285714285713,1
140,2,-350,1559.5,1500.709219858156,1
141,3,700,1560.5,1495.0704225352113,1
142,3,400,1567.5,1487.4125874125873,1
143,1,650,1568.5,1481.5972222222222,1
144,0,7300,1630.5,1521.7241379310344,1
145,3,-550,1570.5,1507.5342465753424,1
146,3,500,1516.0,1500.6802721088436,1
147,3,550,1527.0,1494.2567567567567,1
148,2,450,1463.5,1487.248322147651,1
149,0,7100,1537.5,1524.6666666666667,1
150,1,900,1539.0,1520.5298013245033,1
151,1,900,1542.5,1516.4473684210527,1
152,3,750,1546.5,1511.437908496732,1
153,0,6400,1596.5,1543.1818181818182,1
154,0,7300,1666.5,1580.3225806451612,1
155,3,850,1608.0,1575.6410256410256,1
156,0,7450,1678.0,1613.0573248407643,1
157,2,-600,1678.0,1599.0506329113923,1
158,2,200,1673.0,1590.251572327044,1
159,3,1400,1676.5,1589.0625,1
160,0,6700,1737.5,1620.807453416149,1
161,3,700,1741.0,1615.1234567901236,1
162,1,50,1736.0,1605.521472392638,1
163,2,800,1742.5,1600.6097560975609,1
164,0,6400,1800.0,1629.6969696969697,1
165,0,6700,1859.5,1660.2409638554218,1
166,0,6400,1924.5,1688.622754491018,1
167,0,7750,1993.0,1724.702380952381,1
168,3,50,1925.5,1714.792899408284,1
169,1,-350,1915.5,1702.6470588235295,1
170,1,800,1858.0,1697.3684210526317,1
171,2,350,1861.5,1689.5348837209303,1
172,1,500,1848.5,1682.6589595375722,1
173,0,6900,1908.0,1712.6436781609195,1
174,1,-550,1892.5,1699.7142857142858,1
175,0,6100,1952.0,1724.715909090909,1
176,3,600,1949.0,1718.361581920904,1
177,2,600,1945.5,1712.0786516853932,1
178,1,-200,1877.0,1701.3966480446927,1
179,3,950,1896.0,1697.2222222222222,1
180,2,-100,1826.5,1687.292817679558,1
181,0,7100,1832.0,1717.032967032967,1
182,1,550,1843.0,1710.655737704918,1
183,1,-250,1773.0,1700.0,1
184,2,-700,1759.0,1687.027027027027,1
185,2,350,1757.0,1679.8387096774193,1
186,1,500,1751.0,1673.5294117647059,1
187,3,1450,1759.5,1672.340425531915,1
188,2,650,1761.0,1666.931216931217,1
